                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0309,                 1.5828,                0.85157,                0.48322,                0.27036,                0.28748,                0.22374,                0.91999,                 1.4206,                0.84233,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.0303,                 1.5624,                0.85354,                0.47578,                0.27048,                0.28691,                0.22393,                0.91998,                 1.4201,                0.84217,               0.005446,               0.005446,               0.005446
                     95,                  1.035,                 1.5792,                0.85252,                0.47467,                0.27021,                0.28727,                0.22415,                0.91962,                 1.4197,                0.84207,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.0278,                 1.5617,                0.85206,                0.48053,                0.27003,                0.28687,                0.22391,                0.91932,                 1.4193,                0.84205,               0.005347,               0.005347,               0.005347
                     97,                 1.0284,                 1.5469,                0.85067,                0.48199,                0.27019,                0.28744,                0.22415,                0.91891,                 1.4175,                0.84192,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.0319,                 1.5524,                0.85081,                 0.4801,                0.27162,                0.28814,                0.22467,                0.91822,                 1.4165,                0.84192,               0.005248,               0.005248,               0.005248
                     99,                 1.0248,                 1.5454,                0.85146,                0.47669,                0.27224,                0.28807,                0.22456,                0.91807,                 1.4156,                0.84177,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.0202,                 1.5382,                0.84903,                0.47392,                0.27158,                0.28885,                0.22512,                0.91771,                 1.4147,                0.84173,               0.005149,               0.005149,               0.005149
                    101,                 1.0257,                 1.5426,                0.85163,                0.47104,                0.27214,                0.28887,                0.22535,                0.91757,                 1.4144,                0.84168,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.0156,                 1.5301,                0.85038,                0.47251,                 0.2717,                0.28835,                0.22552,                0.91724,                  1.413,                 0.8416,                0.00505,                0.00505,                0.00505
                    103,                 1.0179,                 1.5475,                0.84897,                0.46668,                  0.273,                0.28858,                0.22533,                0.91721,                 1.4128,                0.84148,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.0209,                 1.5364,                0.84925,                0.46022,                0.27487,                0.28973,                0.22623,                0.91705,                 1.4117,                0.84156,               0.004951,               0.004951,               0.004951
                    105,                 1.0201,                 1.5316,                0.85061,                0.46726,                0.27358,                 0.2897,                0.22601,                0.91729,                 1.4111,                 0.8417,              0.0049015,              0.0049015,              0.0049015
                    106,                  1.016,                  1.527,                0.84991,                0.47084,                0.27335,                0.28993,                0.22605,                0.91719,                 1.4108,                0.84155,               0.004852,               0.004852,               0.004852
                    107,                 1.0099,                 1.5234,                0.84755,                0.47254,                0.27262,                0.29053,                0.22669,                 0.9172,                 1.4105,                0.84154,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.0111,                 1.5227,                0.84928,                0.45501,                0.27498,                0.29007,                0.22628,                0.91651,                 1.4098,                0.84144,               0.004753,               0.004753,               0.004753
                    109,                 1.0173,                  1.517,                0.85249,                0.45913,                0.27434,                0.29049,                0.22646,                0.91581,                 1.4094,                0.84136,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.0137,                 1.5188,                 0.8499,                0.45591,                0.27544,                0.29059,                0.22683,                0.91589,                 1.4086,                0.84126,               0.004654,               0.004654,               0.004654
                    111,                 1.0102,                 1.5016,                0.84828,                0.46576,                 0.2738,                0.29147,                0.22776,                0.91569,                  1.408,                0.84127,              0.0046045,              0.0046045,              0.0046045
                    112,                 1.0089,                 1.5051,                 0.8502,                0.47206,                0.27316,                 0.2915,                0.22752,                0.91503,                 1.4076,                0.84131,               0.004555,               0.004555,               0.004555
                    113,                 1.0133,                 1.4978,                0.84992,                 0.4601,                0.27711,                0.29185,                0.22858,                0.91482,                 1.4073,                0.84126,              0.0045055,              0.0045055,              0.0045055
                    114,                  1.003,                 1.4894,                 0.8483,                0.46037,                0.27678,                0.29235,                0.22851,                0.91419,                 1.4068,                0.84122,               0.004456,               0.004456,               0.004456
                    115,                  1.004,                 1.4873,                0.84798,                0.45385,                0.27866,                0.29211,                0.22843,                0.91408,                 1.4058,                0.84122,              0.0044065,              0.0044065,              0.0044065
                    116,                 1.0014,                 1.4843,                0.84807,                0.47085,                0.27756,                0.29369,                0.22931,                0.91326,                 1.4051,                0.84119,               0.004357,               0.004357,               0.004357
                    117,                  1.008,                 1.4997,                0.84893,                0.46946,                0.27828,                0.29321,                0.22887,                0.91307,                 1.4043,                0.84103,              0.0043075,              0.0043075,              0.0043075
                    118,                0.99712,                 1.4738,                0.84669,                0.46556,                 0.2784,                0.29335,                0.22912,                0.91233,                 1.4037,                0.84086,               0.004258,               0.004258,               0.004258
                    119,                 1.0005,                 1.4747,                0.84822,                0.46633,                0.28032,                0.29445,                 0.2298,                0.91193,                 1.4036,                0.84065,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.0018,                 1.4835,                0.84777,                0.46397,                0.27944,                0.29444,                0.22982,                0.91194,                  1.404,                0.84069,               0.004159,               0.004159,               0.004159
                    121,                0.99717,                 1.4698,                0.84816,                0.46889,                0.27802,                 0.2946,                0.22999,                0.91194,                 1.4036,                0.84067,              0.0041095,              0.0041095,              0.0041095
                    122,                0.99312,                 1.4591,                0.84339,                 0.4722,                0.27768,                0.29522,                0.23102,                0.91145,                 1.4026,                 0.8405,                0.00406,                0.00406,                0.00406
                    123,                0.99176,                 1.4573,                0.84617,                0.46993,                0.27787,                 0.2958,                0.23094,                0.91143,                 1.4033,                0.84051,              0.0040105,              0.0040105,              0.0040105
                    124,                0.99736,                 1.4657,                 0.8475,                0.47174,                0.27544,                0.29745,                0.23208,                0.91151,                 1.4034,                0.84046,               0.003961,               0.003961,               0.003961
                    125,                0.98483,                 1.4378,                0.84653,                0.46948,                0.27379,                 0.2961,                0.23078,                0.91154,                 1.4032,                0.84047,              0.0039115,              0.0039115,              0.0039115
                    126,                  0.995,                 1.4512,                0.84593,                0.46379,                0.27551,                0.29631,                0.23126,                0.91113,                 1.4031,                0.84043,               0.003862,               0.003862,               0.003862
                    127,                0.99155,                 1.4462,                0.84614,                0.46017,                0.27764,                0.29806,                0.23285,                 0.9115,                 1.4031,                0.84049,              0.0038125,              0.0038125,              0.0038125
                    128,                0.99177,                 1.4449,                0.84594,                0.46569,                0.27912,                0.29813,                0.23313,                0.91098,                  1.403,                0.84042,               0.003763,               0.003763,               0.003763
                    129,                0.98049,                 1.4276,                0.84289,                0.47159,                0.27677,                0.29836,                0.23311,                0.91078,                 1.4027,                0.84027,              0.0037135,              0.0037135,              0.0037135
                    130,                0.98933,                 1.4364,                0.84532,                0.46662,                0.27852,                0.29812,                0.23332,                 0.9105,                 1.4028,                0.84028,               0.003664,               0.003664,               0.003664
                    131,                0.97854,                 1.4204,                0.84511,                0.46331,                0.27899,                 0.2986,                0.23341,                0.91001,                 1.4027,                0.84005,              0.0036145,              0.0036145,              0.0036145
                    132,                0.98629,                 1.4165,                 0.8449,                0.45786,                0.28199,                0.29879,                0.23367,                0.90965,                  1.402,                0.83996,               0.003565,               0.003565,               0.003565
                    133,                 0.9858,                 1.4253,                0.84506,                0.46193,                0.28134,                  0.299,                0.23381,                0.90927,                 1.4014,                0.83994,              0.0035155,              0.0035155,              0.0035155
                    134,                0.98019,                 1.4164,                0.84346,                0.45983,                0.28225,                0.29874,                0.23353,                0.90942,                  1.401,                0.83992,               0.003466,               0.003466,               0.003466
                    135,                0.98573,                 1.4135,                0.84443,                0.45982,                0.28233,                0.29913,                0.23365,                0.90999,                 1.4016,                   0.84,              0.0034165,              0.0034165,              0.0034165
                    136,                 0.9773,                 1.4062,                0.84362,                0.45923,                0.28259,                0.29977,                0.23414,                0.90962,                 1.4024,                0.83994,               0.003367,               0.003367,               0.003367
                    137,                0.97319,                 1.3964,                0.84246,                 0.4636,                 0.2814,                0.30019,                0.23457,                0.90983,                 1.4034,                0.83988,              0.0033175,              0.0033175,              0.0033175
                    138,                 0.9733,                 1.3927,                0.84355,                0.46443,                0.28152,                0.30047,                0.23458,                0.90981,                 1.4032,                0.83978,               0.003268,               0.003268,               0.003268
                    139,                0.97539,                 1.3993,                0.84231,                0.45958,                0.28308,                0.30009,                0.23421,                0.90994,                 1.4028,                 0.8399,              0.0032185,              0.0032185,              0.0032185
                    140,                 0.9759,                 1.3978,                0.84402,                 0.4549,                0.28395,                0.30088,                0.23471,                0.91039,                 1.4032,                0.83996,               0.003169,               0.003169,               0.003169
                    141,                0.97162,                 1.3793,                0.84078,                0.45399,                0.28276,                0.30073,                0.23457,                0.91064,                 1.4032,                0.84001,              0.0031195,              0.0031195,              0.0031195
                    142,                0.96493,                 1.3736,                0.84271,                0.45555,                   0.28,                0.29921,                0.23341,                0.91095,                 1.4029,                   0.84,                0.00307,                0.00307,                0.00307
                    143,                0.96751,                 1.3765,                0.84242,                0.45524,                0.28157,                0.29949,                0.23355,                0.91071,                  1.403,                 0.8401,              0.0030205,              0.0030205,              0.0030205
                    144,                0.96555,                 1.3648,                 0.8425,                0.45193,                 0.2822,                0.29935,                0.23362,                0.91077,                  1.403,                0.84007,               0.002971,               0.002971,               0.002971
                    145,                0.96129,                 1.3664,                 0.8423,                0.45243,                 0.2826,                0.30107,                0.23482,                0.91072,                 1.4024,                 0.8401,              0.0029215,              0.0029215,              0.0029215
                    146,                0.96661,                 1.3575,                0.83965,                0.45723,                0.28222,                0.30105,                0.23472,                  0.911,                 1.4028,                0.84026,               0.002872,               0.002872,               0.002872
                    147,                0.96323,                  1.363,                0.84143,                 0.4608,                0.28153,                0.30034,                0.23403,                0.91118,                 1.4027,                0.84025,              0.0028225,              0.0028225,              0.0028225
                    148,                0.95648,                 1.3362,                0.83924,                0.45278,                0.27958,                0.30035,                0.23403,                0.91065,                 1.4028,                0.84033,               0.002773,               0.002773,               0.002773
